cost,margin_max,margin_min,name,price,category_id,user_id,margin,requrchase,qurchase,tag
25300,0.82,0.25,배 신고 상 15,31625.0,7,1,0.4901185770750988,0.6035048663549605,0.9344181930388069,0.2927260628708368
25300,0.82,0.25,배 신고 상 15,32890.0,7,1,0.4901185770750988,0.6035048663549605,1.133,1.041
25300,0.82,0.25,배 신고 상 15,34155.0,7,1,0.4901185770750988,0.6035048663549605,1.298,1.282
25300,0.82,0.25,배 신고 상 15,35420.0,7,1,0.4901185770750988,0.6035048663549605,1.214,1.376
25300,0.82,0.25,배 신고 상 15,36685.0,7,1,0.4901185770750988,0.6035048663549605,1.049,1.635
25300,0.82,0.25,배 신고 상 15,37950.0,7,1,0.4901185770750988,0.6035048663549605,0.959,1.819
25300,0.82,0.25,배 신고 상 15,39215.0,7,1,0.4901185770750988,0.6035048663549605,0.834,2.253
25300,0.82,0.25,배 신고 상 15,40480.0,7,1,0.4901185770750988,0.6035048663549605,0.798,2.756
25300,0.82,0.25,배 신고 상 15,41745.0,7,1,0.4901185770750988,0.6035048663549605,0.637,2.8
25300,0.82,0.25,배 신고 상 15,43010.0,7,1,0.4901185770750988,0.6035048663549605,0.598,3.436
25300,0.82,0.25,배 신고 상 15,44275.0,7,1,0.4901185770750988,0.6035048663549605,0.467,3.988
24500,0.49,0.25,배 신고 상 7,30625.0,7,1,0.3224489795918367,0.6072217169304863,1.2780128394514827,0.580577179224179
24500,0.49,0.25,배 신고 상 7,31850.0,7,1,0.3224489795918367,0.6072217169304863,1.518,0.614
24500,0.49,0.25,배 신고 상 7,33075.0,7,1,0.3224489795918367,0.6072217169304863,1.516,1.334
24500,0.49,0.25,배 신고 상 7,34300.0,7,1,0.3224489795918367,0.6072217169304863,1.489,1.643
16500,0.91,0.25,배 신고 중 15,20625.0,7,1,0.5818181818181818,0.4108706813615154,0.3462651142140001,0.36689191558325956
16500,0.91,0.25,배 신고 중 15,21450.0,7,1,0.5818181818181818,0.4108706813615154,0.927,0.665
16500,0.91,0.25,배 신고 중 15,22275.0,7,1,0.5818181818181818,0.4108706813615154,1.425,1.022
16500,0.91,0.25,배 신고 중 15,23100.0,7,1,0.5818181818181818,0.4108706813615154,1.291,1.561
16500,0.91,0.25,배 신고 중 15,23925.0,7,1,0.5818181818181818,0.4108706813615154,1.167,1.737
16500,0.91,0.25,배 신고 중 15,24750.0,7,1,0.5818181818181818,0.4108706813615154,1.061,2.432
16500,0.91,0.25,배 신고 중 15,25575.0,7,1,0.5818181818181818,0.4108706813615154,1.052,2.761
16500,0.91,0.25,배 신고 중 15,26400.0,7,1,0.5818181818181818,0.4108706813615154,0.803,3.154
16500,0.91,0.25,배 신고 중 15,27225.0,7,1,0.5818181818181818,0.4108706813615154,0.787,3.465
16500,0.91,0.25,배 신고 중 15,28050.0,7,1,0.5818181818181818,0.4108706813615154,0.757,3.649
16500,0.91,0.25,배 신고 중 15,28875.0,7,1,0.5818181818181818,0.4108706813615154,0.673,4.087
16500,0.91,0.25,배 신고 중 15,29700.0,7,1,0.5818181818181818,0.4108706813615154,0.623,4.76
16500,0.91,0.25,배 신고 중 15,30525.0,7,1,0.5818181818181818,0.4108706813615154,0.474,5.071
8800,0.33,0.25,배 신고 중 5,11000.0,7,1,0.29545454545454547,0.7247103623004444,0.887578068691278,0.038244366062905155
16400,0.87,0.25,배 신고 중 7,20500.0,7,1,0.5304878048780488,0.2549351370126514,0.20370432588378806,0.7981156190388541
16400,0.87,0.25,배 신고 중 7,21320.0,7,1,0.5304878048780488,0.2549351370126514,1.085,0.852
16400,0.87,0.25,배 신고 중 7,22140.0,7,1,0.5304878048780488,0.2549351370126514,1.217,1.23
16400,0.87,0.25,배 신고 중 7,22960.0,7,1,0.5304878048780488,0.2549351370126514,1.317,1.719
16400,0.87,0.25,배 신고 중 7,23780.0,7,1,0.5304878048780488,0.2549351370126514,1.275,1.884
16400,0.87,0.25,배 신고 중 7,24600.0,7,1,0.5304878048780488,0.2549351370126514,1.273,2.022
16400,0.87,0.25,배 신고 중 7,25420.0,7,1,0.5304878048780488,0.2549351370126514,1.07,2.048
16400,0.87,0.25,배 신고 중 7,26240.0,7,1,0.5304878048780488,0.2549351370126514,0.877,2.429
16400,0.87,0.25,배 신고 중 7,27060.0,7,1,0.5304878048780488,0.2549351370126514,0.855,3.486
16400,0.87,0.25,배 신고 중 7,27880.0,7,1,0.5304878048780488,0.2549351370126514,0.66,3.81
16400,0.87,0.25,배 신고 중 7,28700.0,7,1,0.5304878048780488,0.2549351370126514,0.417,3.983
16400,0.87,0.25,배 신고 중 7,29520.0,7,1,0.5304878048780488,0.2549351370126514,0.35,4.68
37000,0.52,0.25,배 신고 특 15,46250.0,7,1,0.3567567567567568,0.63706438539045,0.9603378756698896,0.7210603820662362
37000,0.52,0.25,배 신고 특 15,48100.0,7,1,0.3567567567567568,0.63706438539045,1.426,1.106
37000,0.52,0.25,배 신고 특 15,49950.0,7,1,0.3567567567567568,0.63706438539045,1.409,1.311
37000,0.52,0.25,배 신고 특 15,51800.0,7,1,0.3567567567567568,0.63706438539045,1.252,1.437
37000,0.52,0.25,배 신고 특 15,53650.0,7,1,0.3567567567567568,0.63706438539045,1.176,1.858
29200,0.35,0.25,배 신고 특 7,36500.0,7,1,0.2876712328767123,0.6541510314316272,0.13208347490650163,0.541353876198597
6600,2.13,0.25,배 신고 하 15,8250.0,7,1,1.4848484848484849,0.5290257514399829,1.2080790102544159,0.43356920325132386
6600,2.13,0.25,배 신고 하 15,8580.0,7,1,1.4848484848484849,0.5290257514399829,1.362,0.471
6600,2.13,0.25,배 신고 하 15,8910.0,7,1,1.4848484848484849,0.5290257514399829,1.362,0.889
6600,2.13,0.25,배 신고 하 15,9240.0,7,1,1.4848484848484849,0.5290257514399829,1.321,1.329
6600,2.13,0.25,배 신고 하 15,9570.0,7,1,1.4848484848484849,0.5290257514399829,1.155,1.712
6600,2.13,0.25,배 신고 하 15,9900.0,7,1,1.4848484848484849,0.5290257514399829,1.016,2.407
6600,2.13,0.25,배 신고 하 15,10230.0,7,1,1.4848484848484849,0.5290257514399829,0.837,2.484
6600,2.13,0.25,배 신고 하 15,10560.0,7,1,1.4848484848484849,0.5290257514399829,0.835,2.624
6600,2.13,0.25,배 신고 하 15,10890.0,7,1,1.4848484848484849,0.5290257514399829,0.676,3.403
6600,2.13,0.25,배 신고 하 15,11220.0,7,1,1.4848484848484849,0.5290257514399829,0.672,3.656
6600,2.13,0.25,배 신고 하 15,11550.0,7,1,1.4848484848484849,0.5290257514399829,0.65,3.842
6600,2.13,0.25,배 신고 하 15,11880.0,7,1,1.4848484848484849,0.5290257514399829,0.457,3.952
6600,2.13,0.25,배 신고 하 15,12210.0,7,1,1.4848484848484849,0.5290257514399829,0.314,3.995
6600,2.13,0.25,배 신고 하 15,12540.0,7,1,1.4848484848484849,0.5290257514399829,0.128,3.997
6600,2.13,0.25,배 신고 하 15,12870.0,7,1,1.4848484848484849,0.5290257514399829,0.128,4.269
6600,2.13,0.25,배 신고 하 15,13200.0,7,1,1.4848484848484849,0.5290257514399829,0.126,4.578
6600,2.13,0.25,배 신고 하 15,13530.0,7,1,1.4848484848484849,0.5290257514399829,0.125,4.827
6600,2.13,0.25,배 신고 하 15,13860.0,7,1,1.4848484848484849,0.5290257514399829,0.125,4.844
6600,2.13,0.25,배 신고 하 15,14190.0,7,1,1.4848484848484849,0.5290257514399829,0.125,4.977
6600,2.13,0.25,배 신고 하 15,14520.0,7,1,1.4848484848484849,0.5290257514399829,0.124,4.982
6600,2.13,0.25,배 신고 하 15,14850.0,7,1,1.4848484848484849,0.5290257514399829,0.124,4.993
6600,2.13,0.25,배 신고 하 15,15180.0,7,1,1.4848484848484849,0.5290257514399829,0.124,4.995
6600,2.13,0.25,배 신고 하 15,15510.0,7,1,1.4848484848484849,0.5290257514399829,0.124,5.0
6600,2.13,0.25,배 신고 하 15,15840.0,7,1,1.4848484848484849,0.5290257514399829,0.124,5.003
6600,2.13,0.25,배 신고 하 15,16170.000000000002,7,1,1.4848484848484849,0.5290257514399829,0.124,5.003
6600,2.13,0.25,배 신고 하 15,16500.0,7,1,1.4848484848484849,0.5290257514399829,0.124,5.003
6600,2.13,0.25,배 신고 하 15,16830.0,7,1,1.4848484848484849,0.5290257514399829,0.124,5.003
6600,2.13,0.25,배 신고 하 15,17160.0,7,1,1.4848484848484849,0.5290257514399829,0.124,5.003
6600,2.13,0.25,배 신고 하 15,17490.0,7,1,1.4848484848484849,0.5290257514399829,0.124,5.003
6600,2.13,0.25,배 신고 하 15,17820.0,7,1,1.4848484848484849,0.5290257514399829,0.124,5.003
6600,2.13,0.25,배 신고 하 15,18150.0,7,1,1.4848484848484849,0.5290257514399829,0.124,5.003
6600,2.13,0.25,배 신고 하 15,18480.0,7,1,1.4848484848484849,0.5290257514399829,0.124,5.003
6600,2.13,0.25,배 신고 하 15,18810.0,7,1,1.4848484848484849,0.5290257514399829,0.124,5.003
6600,2.13,0.25,배 신고 하 15,19140.0,7,1,1.4848484848484849,0.5290257514399829,0.124,5.003
6600,2.13,0.25,배 신고 하 15,19470.0,7,1,1.4848484848484849,0.5290257514399829,0.124,5.003
6600,2.13,0.25,배 신고 하 15,19800.0,7,1,1.4848484848484849,0.5290257514399829,0.124,5.003
6600,2.13,0.25,배 신고 하 15,20130.0,7,1,1.4848484848484849,0.5290257514399829,0.124,5.003
8000,0.36,0.25,배 신고 하 5,10000.0,7,1,0.325,0.48559938339066777,1.493692324056598,0.23403333802714277
8000,0.36,0.25,배 신고 하 5,10400.0,7,1,0.325,0.48559938339066777,1.48,1.146
11900,0.72,0.25,배 신고 하 7,14875.0,7,1,0.5126050420168067,0.6898764229979069,1.3769605007540484,0.7298369917735137
11900,0.72,0.25,배 신고 하 7,15470.0,7,1,0.5126050420168067,0.6898764229979069,1.407,0.994
11900,0.72,0.25,배 신고 하 7,16065.0,7,1,0.5126050420168067,0.6898764229979069,1.387,1.085
11900,0.72,0.25,배 신고 하 7,16660.0,7,1,0.5126050420168067,0.6898764229979069,1.222,1.622
11900,0.72,0.25,배 신고 하 7,17255.0,7,1,0.5126050420168067,0.6898764229979069,1.097,1.718
11900,0.72,0.25,배 신고 하 7,17850.0,7,1,0.5126050420168067,0.6898764229979069,1.048,2.557
11900,0.72,0.25,배 신고 하 7,18445.0,7,1,0.5126050420168067,0.6898764229979069,0.885,2.931
11900,0.72,0.25,배 신고 하 7,19040.0,7,1,0.5126050420168067,0.6898764229979069,0.666,3.301
11900,0.72,0.25,배 신고 하 7,19635.0,7,1,0.5126050420168067,0.6898764229979069,0.58,3.329
30500,0.53,0.25,배 원황 상 15,38125.0,7,1,0.380327868852459,0.7310450970506157,1.246444216603727,0.16655230419335088
30500,0.53,0.25,배 원황 상 15,39650.0,7,1,0.380327868852459,0.7310450970506157,1.382,0.242
30500,0.53,0.25,배 원황 상 15,41175.0,7,1,0.380327868852459,0.7310450970506157,1.374,1.278
30500,0.53,0.25,배 원황 상 15,42700.0,7,1,0.380327868852459,0.7310450970506157,1.221,1.512
30500,0.53,0.25,배 원황 상 15,44225.0,7,1,0.380327868852459,0.7310450970506157,1.175,1.901
11100,0.78,0.25,배 원황 상 7,13875.0,7,1,0.46846846846846846,0.7064737549550537,1.0970096952120265,0.5225047943161949
11100,0.78,0.25,배 원황 상 7,14430.0,7,1,0.46846846846846846,0.7064737549550537,1.222,0.895
11100,0.78,0.25,배 원황 상 7,14985.0,7,1,0.46846846846846846,0.7064737549550537,1.388,1.3
11100,0.78,0.25,배 원황 상 7,15540.0,7,1,0.46846846846846846,0.7064737549550537,1.331,1.469
11100,0.78,0.25,배 원황 상 7,16095.0,7,1,0.46846846846846846,0.7064737549550537,1.321,1.977
11100,0.78,0.25,배 원황 상 7,16650.0,7,1,0.46846846846846846,0.7064737549550537,1.244,2.306
11100,0.78,0.25,배 원황 상 7,17205.0,7,1,0.46846846846846846,0.7064737549550537,1.046,2.927
11100,0.78,0.25,배 원황 상 7,17760.0,7,1,0.46846846846846846,0.7064737549550537,0.91,3.098
11100,0.78,0.25,배 원황 상 7,18315.0,7,1,0.46846846846846846,0.7064737549550537,0.816,3.396
11100,0.78,0.25,배 원황 상 7,18870.0,7,1,0.46846846846846846,0.7064737549550537,0.629,3.686
12700,0.78,0.25,배 원황 중 10,15875.0,7,1,0.6771653543307087,0.3954324041592491,1.7619866012057073,0.393711142016818
12700,0.78,0.25,배 원황 중 10,16510.0,7,1,0.6771653543307087,0.3954324041592491,1.714,0.703
12700,0.78,0.25,배 원황 중 10,17145.0,7,1,0.6771653543307087,0.3954324041592491,1.643,1.157
12700,0.78,0.25,배 원황 중 10,17780.0,7,1,0.6771653543307087,0.3954324041592491,1.288,1.439
12700,0.78,0.25,배 원황 중 10,18415.0,7,1,0.6771653543307087,0.3954324041592491,1.201,1.691
12700,0.78,0.25,배 원황 중 10,19050.0,7,1,0.6771653543307087,0.3954324041592491,1.122,1.717
